HRDLST	ecDNA	CHR	WGDearly	WGDlate
SWXUIP	0.349223983071722	0.0906848954033019	0.429613151380877	0.0383944918237629	0.0920834783203359
T37H7L	0.00810185633477857	0.119421786638383	0.740373286899785	0.079049903225397	0.0530531669016567
TIHHZC	0.0478083705703232	0.00597853832008661	0.495457491911984	0.00326272049584162	0.447492878701765
TO4U87	0.481759793297424	0	0.422133655125244	0.0589698697794023	0.0371366817979301
TPY21K	0.0267972486228499	0.021829755471141	0.54393079967703	0.0213642996301137	0.386077896598865
TXRZ5H	0.291394372536531	0.0086177311786862	0.664067195762214	0	0.0359207005225684
TZV054	0.0942229511167449	0.0156786208742759	0.871935529520829	0.0181628984881507	0
U0AMQO	0.0972290689813821	0.077682760986634	0.692609734975304	0.0639677889675285	0.0685106460891511
U366V3	0.0611930978939678	0.025970150267319	0.896082672442773	0.0167540793959401	0
U93942	0.448362540933356	0.00611433587870114	0.428349178385553	0.0531332877662195	0.0640406570361706
UGBXA1	0.245161274069803	0.0310159320522494	0.684992648408941	0	0.0388301454690071
UJ9QUA	0.34977187446885	0.0219406365694577	0.589416877602474	0	0.0388706113592184
UPCF2L	0.445576876949811	0.00768494560015119	0.537167514003178	0	0.0095706634468608
UQ04HI	0	0.0419842856689333	0.865670285657764	0.0923454286733026	0
US1TBW	0.174013866564042	0.0761018705109599	0.603590346271916	0.0590874837428318	0.0872064329102508
V4XKCP	0	0.0549091232189889	0.853821465436335	0.0912694113446763	0
V7VS35	0.178094808474387	0.0328807092920748	0.769821060846359	0.01920342138718	0
V8IVMP	0.0585974472975687	0.00210376998471146	0.849023213321611	0.090275569396109	0
VARI5R	0	0.0386826207994728	0.866685125092676	0.0946322541078513	0
VLR2MH	0.0593422796450472	0.064491336008011	0.86120464002518	0	0.0149617443217617
VLW21T	0.10180626550858	0.0285358667191085	0.855329274265116	0.00143120002891576	0.0128973934782802
WEOX0R	0.0940569886491231	0.0714983899249866	0.705392126167899	0.0719872818911845	0.0570652133668072
WUKRAF	0.0151386851596239	0.0447270584856764	0.9401342563547	0	0
WUYZ9T	0.0187361549002787	0.0353006730446855	0.930159661361569	0	0.0158035106934662
XBO7JU	0.334397520132077	0	0.511316629236917	0.0544790548917644	0.0998067957392411
Y8228L	0.120375035818675	0.100340711076008	0.655063236813991	0.0619741655442032	0.0622468507471229
YDO6DA	0	0.0958830094563458	0.812235759759685	0.0882927499688044	0.00358848081516482
YT19ZO	0.334506617603672	0.014851786526472	0.620382488883957	0	0.0302591069858994
ZMW0TA	0.120884100553672	0.0458462046854833	0.806914521058559	0	0.0263551737022861
ZP4V8D	0.384259467559986	0.0518597639190207	0.529005265112508	0	0.0348755034084851
ZPEVLM	0.0235760129621697	0.169814638515949	0.695105191798431	0.0608639190073245	0.0506402377161258
ZQLQA9	0.104702072449032	0.0714726617228232	0.813621674186599	0.0102035916415455	0
ZSDB3H	0.0483404453308711	0.00191972217961996	0.847802021372752	0.101937811116757	0
ZX3AEU	0.219487658208354	0.0229208636518605	0.730595402319237	0.00533325064034771	0.0216628251802007
ZX5NA5	0.195259911716766	0.00839305127836312	0.786764724113111	0	0.00958231289176045
ZZ2P77	0.0867053286396897	0.0391300387326393	0.871319143921979	0	0.00284548870569195
